Path	Description	Genes
Transcriptional cascade regulating adipogenesis	Peroxisome proliferator-activated receptor gamma (PPARG) lies at the core of the transcriptional cascade that regulates adipogenesis. The expression of PPARG is regulated by several pro-adipogenic (green) and anti-adipogenic (orange) factors. PPARG itself is activated by an as-yet-uncharacterized ligand. CCAAT-enhancer-binding protein alpha (C/EBPA) is regulated through a series of inhibitory protein–protein interactions. Some transcription-factor families have several members that participate in adipogenesis, such as the Krüppel-like factors (KLFs). Rosen et al. Figure 2a	KLF2,CEBPD,GATA2,KLF15,PPARG,KLF5,DDIT3,CEBPB,GATA3,CEBPG,SREBF1,CEBPA,EGR2
Amino Acid Metabolism Pathway Excerpt (Histidine catabolism extension)	This pathway was created based on findings from the bachelor thesis project by Kristin Koppelmaa which investigated vitamin D GWAS results.Thesis DOI: https://figshare.com/articles/From_SNPs_to_Pathways_Functional_Interpretation_of_Vitamin_D_GWAS_Results/8796710This pathway shows an excerpt of the WikiPathways amino acid metabolism (WP3925) pathway containing the segment between the metabolites histidine and glutamate that was extended. The proteins added to the conversion were AMDHD1 and UROC1. Although the HAL and FTCD proteins were included in the amino acid metabolism pathway previously, the lead SNP rs7487782 which exists in both HAL and AMDHD1, was added to the pathway and linked to these two genes. This variant was mapped to these genes during the analysis of a dataset originating from [https://www.ncbi.nlm.nih.gov/pubmed/29343764 PMID: 29343764].	GLUD1,UROC1,FTCD,GPT2,AMDHD1,HAL
Hair Follicle Development: Cytodifferentiation - Part 3 of 3	The hair follicle (HF) is the biological unit responsible for producing a single hair shaft. The follicles are arranged with concentric epithelial progenitor layers surrounding the dermal core, which is the dermal papilla (DP). Classically, the development of the follicle itself can be divided into three stages: [https://www.wikipathways.org/index.php/Pathway:WP2804 Induction], [https://www.wikipathways.org/index.php/Pathway:WP2839 Organogenesis] and Cytodifferentiation.Hair follicle cytodifferentiation is the third main step in hair follicle development and leads to the formation of the bulbous peg. Source: [https://www.ncbi.nlm.nih.gov/books/NBK45997/ Notch signaling and the developing hair follicle, by Geneviève Aubin-Houzelstein]	SOSTDC1,NR3C1,ADAM17,KRTs,S100A4,FGF,KITLG,BMPR1A,ADAMTS20,RBPJ,TCF3,SPINK6,FOXQ1,DLX3,Notch1,KRT19,ELANE,CD200,SOX9,NFATC1,GATA3,HOXC12,NOTCH1,KRTAP3-3,CUX1,TCF4,IGFBP5,B-catenin,CASP14,GJB6,BCL11B,DKK1,Notch2,PHLDA1,SPINK5,HR,ZBRB16,GSDMA,KRT15,HOXC13
Genotoxicity pathway	This pathway describes the transcriptomic biomarker TGx-DDI genotoxicity assay (consisting of 64 genes) developed to readily distinguish DNA damage-inducing (DDI) agents from non-DDI agents. Abstract from the paper "Development and validation of a high-throughput transcriptomic biomarker to address 21st century genetic toxicology needs" by Li et al. (2017) published in PNAS:Standard in vitro assays to assess genotoxicity frequently generate positive results that are subsequently found to be irrelevant for in vivo carcinogenesis and human cancer risk assessment. Currently used follow-up methods, such as animal testing, are expensive and time-consuming, and the development of approaches enabling more accurate mechanism-based risk assessment is essential. We developed an in vitro transcriptomic biomarker-based approach that provides a robust biomarker reflecting stress-signaling responses. The biomarker correctly identifies the vast majority of irrelevant genotoxicity results from in vitro chromosome damage assays. TGx-DDI, a multigene biomarker for DNA damage-inducing agents, is the first biomarker that not only shows convincing interlaboratory and intralaboratory reproducibility, but also performs accurately in a system suitable for high-throughput screening.	CENPE,CDKN1A,HIST1H1E,PHLDA3,RRM2B,LCE1E,ITPR1,GXYLT1,BRMS1L,SMAD5,DCP1B,TP53I3,ACTA2,E2F7,HIST1H3D,PLK3,TM7SF3,AMER1,B3GNT2,EI24,TNFRSF17,FBXO22,HIST1H2BI,PRKAB1,HIST1H2BC,HIST1H2BB,RPS27L,HIST1H2BM,CBLB,PCDH8,ARRDC4,AEN,CEBPD,DDB2,USP41,MDM2,TIGAR,TOPORS,RBM12B,TRIM22,SEMG2,DUSP14,ID2,BLOC1S2,DAAM1,E2F8,RAPGEF2,BTG2,COIL,HIST1H2BG,LRRFIP2,PPM1D,SEL1L,IKBIP,HIST1H2BN,PTGER4,SERTAD1,ITPKC,GADD45A,NLRX1,CCP110,TRIAP1,MEX3B,PRKAB2
Hippo-Yap signaling pathway	This is an overview of the Hippo-Yap signaling pathway. YAP and TAZ are phosphorylated and held in cytoplasm when the Hippo-YAP pathway is at the "ON" status. Unphosphorylated YAP and TAZ accumulate in the nucleus with TEAD when the Hippo-Yap pathway is at the "OFF" status.	MINK1,RASSF1,STK38L,TEAD3,MAP4K3,LATS1,TAZ,YWHAQ,NF2,MAP4K1,YY1AP1,TNIK,SAV1,STK3,NDRG1,TEAD4,CXCL10,TEAD2,MAP4K4,MAP4K2,LATS2,MST1,TEAD1
7-oxo-C and 7beta-HC pathways	The Oxysterol group of compounds are oxygenated derivatives of cholesterol or its sterol precursors, e.g. 7-dehydrocholesterol (7-DHC) or desmosterol. There are three mechanisms leading to the formation of oxysterols:1. Enzymatically (first steps of sterol metabolism, being intermediates for the formation of steroid hormones, bile acids and 1,25-dihydroxyvitamin D3); see [https://www.wikipathways.org/index.php/Pathway:WP4545 WP4545]. 2. Non-enzymatically by encountering reactive oxygen species (ROS), providing a second pool of metabolites (this pool also includes oxidized cholesterol molecules taken in from diet); described in this pathway.3. Generation by the gut microflora and uptake through the enterohepatic circulation. Previously oxysterols where though to be inactive metabolic intermediates, however recent findings have established that these metabolites are involved in cholesterol homoeostasis, can be ligands to nuclear and G protein-coupled receptors and biomarkers of diseases (for example Niemann-Pick disease).This pathway describes Figure 4 and 5 from Griffiths et al (2020) [https://dx.doi.org/10.1016%2Fj.prostaglandins.2019.106381] and will be extended with disease information.	ACOX2,CYP27A1,SCPx (SCP2),VLCS (SLC27A2),DBP,HSD11B2,NPC2,BACS (SLC27A5),HSD11B1,BAAT,NPC1,AMACR,CYP7A1
Wnt/beta-catenin Signaling Pathway in Leukemia	The Wnt/Beta-catenin pathway mediates the transcription of proteins important for maintenance and growth of hematopoietic stem cells. The inhibition of Wnt leads to protein degradation through Beta-Catenin activation by the Axin/APC/CK1/GSK3B protein complex. This pathway is based on figure 5 from Misaghian et al.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP3658 CPTAC Assay Portal]	LEF,PPARD,LRP6,TCF,PML,PYGO,c-MYC,FLT3,AXIN,PLZF,GSK3B,DKK,AKT,WIF1,WNT,LRP5,RUNX1T1,RARA,AML1,BCL9,CK1,APC,SALL4
ATM Signaling Pathway	Ataxia-telangiectasia (A-T) is a highly pleiotropic, autosomal recessive disease that leads to multisystem defects and has an intricate cellular phenotype, all linked to the functional inactivation of a single gene. Extensive research on the phenotype and the recent discovery and cloning of the responsible gene point to a defect as a central biochemical locus which links several signal transduction pathways that operate under stress as well as in normal physiological conditions.Ataxia is the first symptom in all patients and is predominantly truncal, first manifested in swaying of the head and trunk on standing and even sitting. Truncal ataxia precedes appendicular cerebellar disease. In the first years of life, certain manifestations are present such as dysarthria, muscular hypotonia, the slow initiation and performance of all voluntary movements, characteristic hypotonic facies and postures, and drooling. Dyssynergia and intention tremor of the upper extremities become a major feature after the fifth year of life. The tendon reflexes are diminished or lost, but may be normal or even hyperactive in the early stages. All these observations show a clear ataxia of cerebellar type, initially of station and gait, and later of intention. Early observations of brains from patients with A-T showed neurodegenerative changes, particularly in the Purkinje and granular cells of the cerebellum. Neuronal degeneration is also present in the brainstem, and dentate and olivary nuclei atrophy. Neuronal loss occurs in the substantial nigra and oculomotor nuclei, dorsal root ganglia, and degenerative changes are evident in spinal motor neurons, and dorsal root and sympathetic motor neurons. Moreover, multiple abnormalities in Purkinje cell development have been observed in an Atm-deficient mouse model. Misplaced Purkinje cells have been observed in both the granular and molecular cell layers. In addition, Purkinje cell dendrites tend to grow laterally instead of extending towards the surface of the cerebellum.ATM (for Ataxia-telangiectasia mutated) has been located by restriction-fragment length polymorphism in the chromosome 11, location: 108,093,211-108,239,829. Interestingly, the site of ATM is the same or adjacent to the region occupied by CD3 (Antigen, Delta subunit), THY1 (T-Cell antigen), and NCAM (Cell Adhesion Molecule, Neural, 1) genes, all of which are members of the immunoglobulin-gene superfamily and consequently may be subject to the same defect that afflicts the T-cell receptor and immunoglobulin molecules in A-T. The ATM gene presents an open reading frame (ORF) of 9,165 kb cDNA and is constituted by 66 exons spread over 150 kb of genomic DNA which has a transcript of 12 kb. The ORF of this transcript predicts a 370-kDa protein composed of 3056 amino acids. Over 300 mutations have been found in A-T patients, distributed across the full length (150 kb of genomic DNA) of the ATM gene.Sequence homology indicates that the atm gene product falls into a family of proteins that are related to the catalytic subunit of phosphatidylinositol 3-kinase (PI 3-kinase). This family includes TEL1, MEC1, TOR1, and TOR2 of the budding yeast Saccharomyces cerevisiae, RAD3 of the fission yeast Schizosaccharomyces pombe, and MEI-41 of Drosophila melanogaster. The mammalian family member most closely related to ATM is the ATR/FRP1 protein and, like its yeast homologs, it mediates cellular responses to unreplicated or damaged DNA. In humans the PI 3-kinase family includes the catalytic subunit of the DNA-dependent protein kinase (DNA-PKcs) and FRAP. These sequence homologies appear to reflect functional homology because many of the PI 3-kinase family members are involved in DNA repair, recombination and cell cycle control. Despite the resemblance to lipid kinases, members of this family, including ATM, possess a serine/threonine protein kinase activity, which is wortmannin sensitive.ATM phosphoprotein is ubiquitously expressed and predominantly found in nuclei of proliferating cells, but subcellular fractionation and immunofluorescence revealed that 10-20% of the protein is present in cytoplasmic vesicles, including peroxisomes and endosomes and a prominent cytoplasmic fraction in mouse oocytes. ATM is endosome-bound in mouse neurons, suggesting molecular sorting of the protein occurs in the cytoplasm. In Purkinje cells, distribution of ATM protein is primarily in cytoplasm, and this may be related to the differentiation state of the cells. ATM mRNA is present in all human and mouse tissues. In situ hybridization shows that ATM mRNA is expressed throughout the whole mouse embryo. Furthermore, ATM has been associated with beta-adaptin in lymphoblast vesicles indicating that it may play a role in intracellular vesicle and/or protein transport mechanisms. No obvious nuclear localization signals have been detected in ATM. Neither an ectopically expressed N-terminal fragment of the protein nor a C-terminal fragment is capable of entering the nucleus.	Caspase 2,ATF2,c-Abl,RAIDD,RAD51,MDMX (MDM4),PIDD,GADD45A,p21,c-Jun,CDC25C,RAD9A,SAPK (MAPK9),TP73,CCNE1,CDC2,CDK1,TP53,RIP1,CDC25A,Cyclin B,CREB1,ATM,TP53BP1
let-7 inhibition of ES cell reprogramming	Four transcription factors (OCT4, KLF4, SOX2, and c-MYC) reprogram adult cells into stem cells. MicroRNA let-7 is a barrier to reprogramming that inhibits LIN-41, a strong reprogramming factor that is expressed in pluripotent embryonic stem cells. LIN-41 inhibits the transcription factor EGR1, which promotes cell differentiation and is another barrier to reprogramming. (Description from Worringer et al)	MIRLET7D,EGR1,MIRLET7I,c-MYC,MIRLET7A2,MIRLET7G,LIN-41,MIRLET7E,MIRLET7A3,MIRLET7F2,OCT4,MIRLET7F1,MIRLET7A1,SOX2,KLF4,MIRLET7C
Tryptophan metabolism	This pathway describes the metabolism of tryptophan, an essential amino acidConverted from rat to human using ortholog information. Originally adapted from:  [https://www.genome.jp/dbget-bin/www_bget?pathway+rno00380 KEGG].Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP465 CPTAC Assay Portal]	1.14.99.2,4.1.1.43,2.1.1.47,3.5.1.4,1.13.99.3,CYP2A13,ALDH1A1,DDC,CYP1B1,2.1.1.49,1.1.1.110,ALDH1A2,KYNU,CYP7B1,3.5.5.1,4.1.1.-,1.2.3.7,Cyp2c39,1.5.1.-,AANAT,AOX1,HRMT1L2,3.5.1.49,Cyp2c12,3.5.1.9,Cyp2a1,INDO,1.14.16.3,Cyp2a2,Cyp2b15,ACMSD,1.2.1.-,4.2.1.84,TDO2,1.3.1.18,MAOB,HADHSC,CYP2C18,CYP1A1,6.3.2.-,DHCR24,AADAT,1.10.3.4,1.13.11.17,AFMID,1.13.11.23,ALDH2,ALDH3A2,CYP3A4,1.1.1.191,1.7.3.2,Cyp2d2,CAT,3.2.1.147,CYP2J2,OGDH,CYP1A2,ABP1,ASMT,CYP2F1,1.14.16.-,ACAT1,3.5.99.5,GCDH,CYP19A1,CYP2E1,4.1.99.1,CYP4F12,1.14.13.9,ECHS1,2.6.1.27,INMT,Aldh1a4,HADH2,1.13.12.3,TPH1,1.13.11.10,1.1.1.190,1.2.1.32,ALDH9A1,1.4.3.2,1.13.11.-,WARS,HAAO
Liver steatosis AOP	This liver steatosis AOP starts from the top with different molecular initiating events going down towards liver steatosis. The black nodes are Key Events and green nodes are molecular pathways. Adverse outcome pathway liver steatosis; the accumulation of lipids in hepatocytes, caused either by over-nutrition, visceral obesity, metabolic syndrome, or environmental toxins. Liver steatosis can be divided into three main categories: alcoholic liver disease (ALD), non-alcoholic  liver disease (NAFLD), and toxicant-associated liver disease (TAFLD).[https://pubmed.ncbi.nlm.nih.gov/28210688/ Review on liver steatosis]	
Serotonin and anxiety-related events	Stress and anxiety disorders are risk factors for depression and these behaviours are modulated by corticotropin releasing factor (CRFR1) and serotonin (5-HT2R) receptors. (Source: Berg et al "5-Hydroxytryptamine type 2A receptors regulate cyclic AMP accumulation in a neuronal cell line by protein kinase C-dependent and calcium/calmodulin-dependent mechanisms").Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP3944 CPTAC Assay Portal]	PRKCB,PLCD4,HTR2C,NLGN1,ARC,CRHR1,PPP3CA,HTR1A,GRIN2D,HTR2A,FOS,PLEK
Integrated Cancer Pathway	This integrated cancer pathway describes the key mechanisms involved in the development of cancer containing the key prognostic markers and pathogenetic factorsProteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP1971 CPTAC Assay Portal]	PLK1,MYC,ATF1,CDC25B,BACH1,CDC25A
Nicotine Activity on Dopaminergic Neurons	Nicotine is an alkaloid found in tobacco plants. It is a substance that acts as a stimulant in humans and is one of the main factors responsible for tobacco dependence. When nicotine enters the body, it is distributed quickly through the bloodstream, and it can cross the blood-brain barrier to enter the central nervous system (CNS). It binds to two main types of nicotinic acetylcholine receptors: the ganglion type and the CNS type.In dopaminergic neurons in the CNS, nicotine binds to the CNS-type nicotinic acetylcholine receptors. The main type of CNS receptor is composed of alpha 4 beta 2 (CHRNA4, CHRNB2) subunits. It has been shown that alpha 6, alpha 5, and beta 3 can also be in the receptor complex to modulate binding sensitivity. By binding to the receptor, nicotine causes cell depolarization and release of dopamine from the cell through the SNARE complex. Dopamine then binds to dopamine receptors (DRD2, DRD3, DRD4) on dopaminergic terminals and activates Gi alpha (GNAI1), initiating a feedback loop to inhibit dopamine release. One of the key players mediating dopamine signaling is PPP1R1B (also called DARPP-32, dopamine and cyclic AMP-regulated phospho-protein). PPP1R1B is a bifunctional signal transduction molecule which, by distinct mechanisms, inhibits either a serine/threonine kinase (PPKACA or PKA) or a serine/threonine phosphatase (PPP1CA or protein phosphatase 1). When PPP1R1B is phosphorylated by PPKACA at threonine 34, it is an inhibitor of protein phosphatase 1 (PPP1CA), which inhibits dopamine secretion through the SNARE complex. When PPP1R1B is phosphorylated by CDK5 at threonine 75, it is converted to an inhibitor of PPKACA. Binding of dopamine to D2-like dopamine receptors leads to inhibition of adenylate cyclase (ADCY2) via G-protein GNAI1, and decreases PKA-stimulated phosphorylation of DARPP-32 at Thr34. This, in turn, relieves the inhibition of protein phosphatase 1 (PPP1CA), and inhibits further dopamine release.Sources: [https://www.pharmgkb.org/pathway/PA162355621 Nicotine Pathway in Dopaminergic Neurons (PharmGKB)], [http://en.wikipedia.org/wiki/Nicotine Nicotine (Wikipedia)].Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP1602 CPTAC Assay Portal]	GNG2,TH,SLC18A2,PPP1CA,GNAI1,DRD4,ADCY2,KCNK9,DDC,PPP1R1B,CHRNA5,KCNK3,SNARE Complex,CHRNA6,CHRNA3,CDK5,DRD3,CHRNB2,CHRNA4,GNB1,DRD2,PRKACA
Viral Acute Myocarditis	Viral Myocarditis is a rare cardiac disease associated with the inflammation and injury of the myocardium. The downstream effects are a product of cooperation between viral processes and both the adaptive as innate host's immune response. Acute appearance of myocarditis is mostly idiopathic (=of unknown origin). Primarily established on clinical observation and limited epidemiologic studies. Most studied cases are coxsackie, adeno and human immunodeficiency virus. Grey compartments describe extracellular matrix. Direct lines indicate downstream effects and dashed lines indicate speculative research. 	MAPK3,BAX,DMD,SGCG,ITGAL,MAPK1,ILK,SOS1,CREB1,CD4,LAMA2,Macrophage&#xA;,IgG,AKT1,CYCS,IL6&#xA;,DAG1-B,CASP6,CD80,TLR3,pro-IL-1beta,CHRAC1,EIF4G1,BNIP2,ABL2,SGCB,NFkB,3C^PRO,CD55,T cell receptor alpha chain V region,IL12B,GSK3B,RASA1,PYCARD,CCR3,PARP1,T-cell receptor beta chain V region,CCR5,CASP7,NLRP3,DFFB-45&#xA;,SGCA,TLR4,DFFA/ICAD,KRT8,NF-kB,CASP9,MYH6,peptidoglycan muramyl dipeptide,RAC2,CXCR4,STAT1,AIF1,ACTB,BCL2L1,PTCRA,IFNG,CASP2,RAC3,TICAM1,TGFB1,2A^PRO,PABPC1,ABL1,CAV1,CAAP1,SOCS1,STAT3,Viral entry&#xA;CVB3,HLA-DMA,SGCD,EIF4G2,ENDOG,DAP5,MMP9,ITGB2,BCL2,CD40LG,IL12A,JAK1,CASP3,PIK3,IL10,Cd28,DAG1-a,IL1,FYN,TLR5,CCND1,Pro-IL-18
GABA metabolism (aka GHB)	Gamma-Hydroxybutyric acid (GHB) is a naturally occurring neurotransmitter and a psychoactive drug. This compound is a precursor to GABA, glutamate, and glycine in certain brain areas, acts on the GHB receptor and is a weak agonist at the GABAB receptorGHB has been used in a medical setting as a general anesthetic and as a treatment for cataplexy, narcolepsy, and alcoholism. It is also used illegally as an intoxicant, to try to increase athletic performance, and as a date rape drug. GHB is also produced as a result of fermentation, and is found in small quantities in some beers and wines, beef and small citrus fruits. Succinic semialdehyde dehydrogenase deficiency is a disease that causes GHB to accumulate in the blood.Part of this pathway was inspired by Chapter 5 of the book of Blau (ISBN 3642403360 (978-3642403361)), Fig. 5.3	
Cholesterol Biosynthesis Pathway	Cholesterol is a waxy steroid metabolite found in the cell membranes and transported in the blood plasma of all animals. It is an essential structural component of mammalian cell membranes, where it is required to establish proper membrane permeability and fluidity. In addition, cholesterol is an important component for the manufacture of bile acids, steroid hormones, and several fat-soluble vitamins. Cholesterol is the principal sterol synthesized by animals, but small quantities are synthesized in other eukaryotes, such as plants and fungi. It is almost completely absent among prokaryotes, which include bacteria.Source: [[wikipedia:Cholesterol|Wikipedia]]Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP197 CPTAC Assay Portal]	IDI1,NSDHL,SC4MOL,DHCR7,CYP51A1,HMGCR,LSS,MVK,SQLE,FDFT1,FDPS,SC5DL,MVD,HMGCS1,PMVK
Modulators of TCR signaling and T cell activation	Modulators of TCR signaling and T cell activation from a genome-wide screen, with positive regulators on the left and negative regulators on the right (known and unknown).Adapted from figure 2F from [https://pubmed.ncbi.nlm.nih.gov/30449619/ Shifrut et al.], and originally adapted from [http://www.ncbi.nlm.nih.gov/pubmed/20067622 NetPath].	SMARCB1,RNF7,ZFP36L1,CD5,NDUFB10,PCBP2,TNFAIP3,TCEB2,GNA13,PTPN6,UBASH3A,ARIH2,SH2D1A,RASA2,CDKN1B,MEF2D,TMEM222,SOCS1,FIBP,CUL5,DGKA,RPRD1B,RHOH,AGO1,DGKZ
Supression of HMGB1 mediated inflammation by THBD	THBD inhibition of HMGB1 mediated pro-inflammatory pathway via proteolytic cleavage of HMGB1.	IkBA,HMGB1,IkKB,RELA,IkKG,IkKA,THBD,NFkB,RAGE
TNF alpha Signaling Pathway	Tumor necrosis factor alpha (TNFα) is a proinflammatory cytokine involved in various biological processes including regulation of cell proliferation, differentiation, apoptosis and immune response. TNFα is mainly produced by macrophages, also by other tissues including lymphoid cells, mast cells, endothelial cells, fibroblasts and neuronal tissues. TNF was identified as a soluble cytokine produced upon the activation by the immune system and able to exert cytotoxicity on tumor cell lines and cause tumor necrosis in animal models. TNF is primarily produced as a type II transmembrane protein arranged as stable homotrimers. The members of TNFα family exert their cellular effect through two distinct surface receptors of the TNF receptor family, TNFRSF1A (TNF-R1) and TNFRSF1B (TNF-R2). TNF-R1 is ubiquitously expressed, whereas TNF-R2 is found typically on cells of the immune system and is highly regulated. TNF-R1 and TNF-R2 binds membrane-integrated TNF (memTNF) as well as soluble TNF (sTNF) TNF-R1 contains a protein-protein interaction domain, called death domain (DD). This domain interacts with other DD-containing proteins and couples the death receptors to caspase activation and apoptosis. TNF-R2 induces gene expression by a TRAF-2 dependent signaling mechanism and also crosstalk's with TNF-R1. The pleiotropic biological effects of TNF can be attributed to its ability to simultaneously activate multiple signaling pathways in cells. Binding of TNFα to TNF-R1 on the cell surface triggers trimerization of the receptor and exposes intracellular domain of TNF-R1 following the release of an inhibitory protein. This intracellular domain recruits a death-domain containing adaptor protein, TRADD by homophilic interactions. TRADD, which acts as a scaffold protein, recruits TRAF2 and RIPK1 to form a complex , referred to as complex 1.  Complex 1 is believed to be important in NF-κB activation and JNK activation. Complex 1 eventually dissociates from the receptor and integrates FADD and procaspase8 to form a complex referred to as the complex 2. In some cases, FADD/CASP8 association depends on high molecular weight complexes containing unubiquitinated RIPK1 as scaffold. Activated CASP8 induces CASP3 activity and execution of apoptosis. CASP8 activates apoptotic signal through another mechanism involving BID cleavage to truncated BID (tBID). tBID translocates to the mitochondria, increasing its outer membrane permeability. This results in cytochrome C release and activation of other caspases ultimately leading to apoptosis. Reactive oxygen species (ROS) have been found to increase during or after complex 1 and 2 formation to mediate or potentiate apoptosis upon TNF stimulation. TRAF-2 in complex 1 also activates the MAP kinase cascade, that leads to the activation of JNK, which on prolonged activation is believed to mediate both apoptosis and necrotic cell death.  On complex 1 formation, NF-κB regulated anti-apoptotic gene products efficiently block initiation of apoptosis by complex 2. There is evidence of an early attempt to signal for apoptosis, which precedes the activation of NF-κB. The intracellular part of TNF-R1 binds to NSMAF which in turn mediates SMPD2-dependant ceramide production from cell membrane. Ceramide induces membrane permeabilization and apoptosis. This is observed before TNF-R1 internalization and NF-κB activation. This process is repressed on TNF-R1 internalization. This signal however is enough to initiate apoptosis in some cells. Another form of cell death, necrosis, is also mediated through TNF stimulation. On TNF stimulation, deubiquitinated RIPK1 dissociates from complex 1 and recruits RIPK3, FADD and CASP8. RIPK3 is autophosphorylated and phosphorylates RIPK1. Taken together, it has been speculated that RIP1 and RIP3 increase carbohydrate and glutamine metabolism of the cell, leading to increased ROS production and eventual necrosis. Recruitment of CASP8, activation of FADD/RIP1 and apoptosis induction, is blunted when RIPK1 becomes ubiquitinated. IKBKG binds to ubiquitinated RIPK1 to induce the activation of NF-κB, which exerts antiapoptotic effects. Cellular inhibitor of apoptosis, BIRC2 and BIRC3 has E3-ubiquitin ligase activity and functionally interact with TRAF2 and RIPK1  to induce polyubiquitination of RIPK1 upon TNF stimulation. Loss of these inhibitors attenuates TNF-induced NF-κB activation. The adaptor proteins TAB2 and TAB3 bind preferentially to Lys-63 polyubiquitinated RIPK1. This facilitates dimerization of MAP3K7, promoting its phosphorylation and activation. The IKK complex, consisting of CHUK, IKBKB and IKBKG, is recruited to RIP1 through binding of IKBKG to the ubiquitin chain of RIP1. Activated TAK1 directly phosphorylates IKBKB within the activation loop, leading to activation of the IKK complex and NF-κB. Certain regulatory proteins have been known to intercept NF-κB activation at the level of ubiquitinated RIP1. TNFAIP3, an NF-κB inhibitory protein, removes Lys-63 polyubiquitin chain and promotes Lys-48 linked ubiquitination of RIPK1 leading to its degradation and NF-κB signal termination. IKBKG stabilizes the bound polyubiquitinated RIPK1 by inhibiting its degradation, most probably by impairing its interaction with TNFAIP3. OTUD7B is recruited to the activated TNF-R1 and promotes RIP1 deubiquitination, thereby attenuating NF-κB activation. At internalized TNF-receptosomes, RIPK1 is ubiquitinated by endocytic vesicle associated RFFL, inducing RIPK1 degradation, which terminates NF-κB activation. When successful, TNF-induced NF-κB activation induces transcription and expression of genes encoding proinflammatory IL-6, anti-apoptotic factors BIRC2, BIRC3 and BCL-2 homologue BCL2L1. This causes the cell to remain inert to apoptotic stimuli.Please access this pathway at [http://www.netpath.org/netslim/tnf_alpha_pathway.html NetSlim] database.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP231 CPTAC Assay Portal].	HRAS,KRAS,NRAS
Cell migration and invasion through p75NTR	p75NTR or NGFR (HGNC symbol) is an important factor regulating neuronal crest development and plays an important role in invasion and migration of neuronal cells during embryonic development. 	NTRK2,PARD3,AKT3,TRIO,TWIST1,EFNA1,AKT2,EFNB1,ADAMTS13,MMP9,RAC1,RHOA,JUN,EFNA2,EFNB2,KIDINS220,TIAM1,STAT3,PI3K,MMP2,EFNA5,NGFR,EFNA4,AKT1,EFNA3,MMP8,ARF1,PAK1,EFNB3,BDNF,CDH11
Wnt Signaling in Kidney Disease	This pathway is modeled after Figure 5 of the article "Glomerulocystic kidney disease" (Bissler, et al. 2010). The gene product Wnt signals two different paths titled canonical and non-canonical. The non-canonical path is mediated by the membrane bound protein Disheveled (Dvl) which then controls the planar cell Polarity. The canonical path on the other hand is mediated by the cytoplasmic protein Disheveled (Dvl) and then is effected through b-catenin transcription. The complex of Nphp2 and Nphp3 seem to help facilitate the process by controlling the Wnt signaling.  Bergmann, et al. (2008) showed that Nphp3 deficiency in Xenopus resulted to planar cell polarity defects.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP4150 CPTAC Assay Portal].	WNT2B,FZD4,WNT3,MAPK9,WNT11,DVL3,FZD8,FZD2,FZD1,WNT7A,WNT1,WNT9B,FZD9,NPHP3-ACAD11,MAPK8,FZD7,CTNNB1,RHOA,DVL1,WNT5B,FZD5,WNT16,FZD6,LRP5,WNT7B,WNT2,MAPK10,WNT10A,WNT10B,WNT4,INVS,DVL2,LRP6,WNT6,WNT3A,WNT5A,FZD3
Novel intracellular components of RIG-I-like receptor (RLR) pathway	Viral pathogen RNA are recognized by host helicases called RIG-I-like receptors (RLRs) that include DDX58 (RIG-I), DHX58 (LGP2), IFIH1 (MDA5), SNW1, and DDX17. These RLR proteins then go on to initiate signaling pathways, triggering the innate antiviral response via production of type I interferons and inflammatory cytokines. RLR pathway genes are characterized by rapid evolution, viral protein interactions, limited sets of protein domains, specific TF regulation, and densely connected interaction networks. The study by van der Lee et al. (2015) identfied novel components, DDX17 and SNW1, for the RIG-I pathway.Proteins on this pathway have targeted assays available via the [https://assays.cancer.gov/available_assays?wp_id=WP3865 CPTAC Assay Portal]	TBKBP1,MAP3K1,NFKBIA,ATG12,MAPK8,DHX58,RELA,IFNK,DDX58,TMEM173,CXCL10,TANK,DDX3Y,IFNA1,CXCL8,IKBKG,OTUD5,FADD,TBK1,IKBKE,IFNG,MAPK10,TRAF6,MAVS,TRAF2,IFNE,CXCL12,IKBKB,CASP10,ISG15,MAPK14,TRADD,IRF7,MAPK9,SNW1,MAPK12,ATG5,NFKBIB,CHUK,DDX3X,RNF125,PIN1,IFNB1,TRIM25,NLRX1,SIKE1,DAK,MAPK13,RIPK1,CASP8,CYLD,AZI2,NFKB1,IRF3,MAP3K7,TRAF3,IFIH1,DDX17,MAPK11
